iter	Logloss
0	0.6128444859
50	0.005301183328
100	0.00274276754
150	0.002533722072
200	0.002444904394
250	0.002382788531
300	0.002330966987
350	0.002282335546
400	0.002238559683
450	0.002201606084
499	0.002167447933
